mission_name,Rocket Type,Reusability,Payload Mass (kg),Payload Type,Orbit,Country,Launch Success,launch_date,launch_year
falconsat,Falcon 1,False,20.0,Satellite,LEO,Marshall Islands,0.0,2006-03-24 22:30:00+00:00,2006
demosat,Falcon 1,False,7834.885403726708,Satellite,LEO,Marshall Islands,0.0,2007-03-21 01:10:00+00:00,2007
trailblazer,Falcon 1,False,7834.885403726708,Satellite,LEO,Marshall Islands,0.0,2008-08-03 03:34:00+00:00,2008
ratsat,Falcon 1,False,165.0,Satellite,LEO,Marshall Islands,1.0,2008-09-28 23:15:00+00:00,2008
razaksat,Falcon 1,False,200.0,Satellite,LEO,Marshall Islands,1.0,2009-07-13 03:35:00+00:00,2009
falcon 9 test flight,Falcon 9,False,7834.885403726708,Dragon Boilerplate,LEO,Florida,1.0,2010-06-04 18:45:00+00:00,2010
cots 1,Falcon 9,False,7834.885403726708,Dragon 1.0,LEO,Florida,1.0,2010-12-08 15:43:00+00:00,2010
cots 2,Falcon 9,False,525.0,Dragon 1.0,LEO,Florida,1.0,2012-05-22 07:44:00+00:00,2012
crs-1,Falcon 9,False,400.0,Dragon 1.0,ISS,Florida,1.0,2012-10-08 00:35:00+00:00,2012
crs-2,Falcon 9,False,677.0,Dragon 1.0,ISS,Florida,1.0,2013-03-01 19:10:00+00:00,2013
cassiope,Falcon 9,False,500.0,Satellite,PO,California,1.0,2013-09-29 16:00:00+00:00,2013
ses-8,Falcon 9,False,3170.0,Satellite,GTO,Florida,1.0,2013-12-03 22:41:00+00:00,2013
thaicom 6,Falcon 9,False,3325.0,Satellite,GTO,Florida,1.0,2014-01-06 18:06:00+00:00,2014
crs-3,Falcon 9,False,2296.0,Dragon 1.1,ISS,Florida,1.0,2014-04-18 19:25:00+00:00,2014
og-2 mission 1,Falcon 9,False,1316.0,Satellite,LEO,Florida,1.0,2014-07-14 15:15:00+00:00,2014
asiasat 8,Falcon 9,False,4535.0,Satellite,GTO,Florida,1.0,2014-08-05 08:00:00+00:00,2014
asiasat 6,Falcon 9,False,4428.0,Satellite,GTO,Florida,1.0,2014-09-07 05:00:00+00:00,2014
crs-4,Falcon 9,False,2216.0,Dragon 1.1,ISS,Florida,1.0,2014-09-21 05:52:00+00:00,2014
crs-5,Falcon 9,False,2395.0,Dragon 1.1,ISS,Florida,1.0,2015-01-10 09:47:00+00:00,2015
dscovr,Falcon 9,False,570.0,Satellite,ES-L1,Florida,1.0,2015-02-11 23:03:00+00:00,2015
abs-3a / eutelsat 115w b,Falcon 9,False,1954.0,Satellite,GTO,Florida,1.0,2015-03-02 03:50:00+00:00,2015
crs-6,Falcon 9,False,1898.0,Dragon 1.1,ISS,Florida,1.0,2015-04-14 20:10:00+00:00,2015
türkmenälem 52°e / monacosat,Falcon 9,False,4707.0,Satellite,GTO,Florida,1.0,2015-04-27 23:03:00+00:00,2015
crs-7,Falcon 9,False,2477.0,Dragon 1.1,ISS,Florida,0.0,2015-06-28 14:21:00+00:00,2015
og-2 mission 2,Falcon 9,False,2034.0,Satellite,LEO,Florida,1.0,2015-12-22 01:29:00+00:00,2015
jason 3,Falcon 9,False,553.0,Satellite,PO,California,1.0,2016-01-17 15:42:00+00:00,2016
ses-9,Falcon 9,False,5271.0,Satellite,GTO,Florida,1.0,2016-03-04 23:35:00+00:00,2016
crs-8,Falcon 9,False,3136.0,Dragon 1.1,ISS,Florida,1.0,2016-04-08 20:43:00+00:00,2016
jcsat-2b,Falcon 9,False,4696.0,Satellite,GTO,Florida,1.0,2016-05-06 05:21:00+00:00,2016
thaicom 8,Falcon 9,False,3100.0,Satellite,GTO,Florida,1.0,2016-05-27 21:39:00+00:00,2016
abs-2a / eutelsat 117w b,Falcon 9,False,1800.0,Satellite,GTO,Florida,1.0,2016-06-15 14:29:00+00:00,2016
crs-9,Falcon 9,False,2257.0,Dragon 1.1,ISS,Florida,1.0,2016-07-18 04:45:00+00:00,2016
jcsat-16,Falcon 9,False,4600.0,Satellite,GTO,Florida,1.0,2016-08-14 05:26:00+00:00,2016
amos-6,Falcon 9,False,5500.0,Satellite,GTO,Florida,0.0,2016-09-01 13:07:00+00:00,2016
iridium next mission 1,Falcon 9,False,9600.0,Satellite,PO,California,1.0,2017-01-14 17:54:00+00:00,2017
crs-10,Falcon 9,False,2490.0,Dragon 1.1,ISS,Florida,1.0,2017-02-19 14:39:00+00:00,2017
echostar 23,Falcon 9,False,5600.0,Satellite,GTO,Florida,1.0,2017-03-16 06:00:00+00:00,2017
ses-10,Falcon 9,False,5300.0,Satellite,GTO,Florida,1.0,2017-03-30 22:27:00+00:00,2017
nrol-76,Falcon 9,False,7834.885403726708,Satellite,LEO,Florida,1.0,2017-05-01 11:15:00+00:00,2017
inmarsat-5 f4,Falcon 9,False,6070.0,Satellite,GTO,Florida,1.0,2017-05-15 23:21:00+00:00,2017
crs-11,Falcon 9,True,2708.0,Dragon 1.1,ISS,Florida,1.0,2017-06-03 21:07:00+00:00,2017
bulgariasat-1,Falcon 9,False,3669.0,Satellite,GTO,Florida,1.0,2017-06-23 19:10:00+00:00,2017
iridium next mission 2,Falcon 9,False,9600.0,Satellite,PO,California,1.0,2017-06-25 20:25:00+00:00,2017
intelsat 35e,Falcon 9,False,6761.0,Satellite,GTO,Florida,1.0,2017-07-05 23:35:00+00:00,2017
crs-12,Falcon 9,False,2910.0,Dragon 1.1,ISS,Florida,1.0,2017-08-14 16:31:00+00:00,2017
formosat-5,Falcon 9,False,475.0,Satellite,SSO,California,1.0,2017-08-24 18:50:00+00:00,2017
boeing x-37b otv-5,Falcon 9,False,4990.0,Satellite,LEO,Florida,1.0,2017-09-07 13:50:00+00:00,2017
iridium next mission 3,Falcon 9,False,9600.0,Satellite,PO,California,1.0,2017-10-09 12:37:00+00:00,2017
ses-11 / echostar 105,Falcon 9,False,5200.0,Satellite,GTO,Florida,1.0,2017-10-11 22:53:00+00:00,2017
koreasat 5a,Falcon 9,False,3700.0,Satellite,GTO,Florida,1.0,2017-10-30 19:34:00+00:00,2017
crs-13,Falcon 9,True,2205.0,Dragon 1.1,ISS,Florida,1.0,2017-12-15 15:36:00+00:00,2017
iridium next mission 4,Falcon 9,False,9600.0,Satellite,PO,California,1.0,2017-12-23 01:27:23+00:00,2017
zuma,Falcon 9,False,7834.885403726708,Satellite,LEO,Florida,1.0,2018-01-08 01:00:00+00:00,2018
ses-16 / govsat-1,Falcon 9,False,4230.0,Satellite,GTO,Florida,1.0,2018-01-31 21:25:00+00:00,2018
falcon heavy test flight,Falcon Heavy,False,1350.0,Satellite,HCO,Florida,1.0,2018-02-06 20:45:00+00:00,2018
paz / starlink demo,Falcon 9,False,1350.0,Satellite,SSO,California,1.0,2018-02-22 14:17:00+00:00,2018
